"feature","score","direction","type","gene","overall.rank","type.rank","direction.rank"
"ge.ZNF784",0.000586029325309376,"greater","ge","ZNF784",5672,4296,3202
"ge.CRABP1",0.000586413123728277,"greater","ge","CRABP1",5673,4297,3203
"ge.PRSS22",0.00058745844382858,"less","ge","PRSS22",5674,4298,2875
"ge.TMEM184C",0.000587962998660021,"less","ge","TMEM184C",5675,4299,2876
"ge.CUX2",0.000588919037147625,"greater","ge","CUX2",5676,4300,3204
"ge.SVOPL",0.000589302774463831,"greater","ge","SVOPL",5677,4301,3205
"ge.RUNX1.IT1",0.000589905247766654,"greater","ge","RUNX1.IT1",5678,4302,3206
"ge.CD6",0.000590530382828166,"greater","ge","CD6",5679,4303,3207
"cn.PCDHAC2",0.00059121142908564,"less","cn","PCDHAC2",5680,1781,2877
"ge.WNT10A",0.000591429828785819,"less","ge","WNT10A",5681,4304,2878
"cn.KIAA0141",0.000591772339554947,"less","cn","KIAA0141",5682,1782,2879
"cn.COL9A3",0.000592028921619222,"less","cn","COL9A3",5683,1783,2880
"cn.DPH3P1",0.000592028921619222,"less","cn","DPH3P1",5683,1784,2881
